name,description,meta_title,meta_description,meta_keywords,image_url
T-Shirts,Trendy and comfortable t-shirts for men,Men T-Shirts Online,Shop the best t-shirts for men online at great prices,"men, t-shirts, fashion, clothing",/uploads/categories/tshirts.jpg
Smartphones,Latest collection of smartphones with advanced technology and sleek design,Buy Smartphones Online,Explore the newest smartphones from top brands at the best prices online,"smartphones, mobiles, android, iphone, gadgets",/uploads/categories/smartphones.jpg
Laptops,"Powerful and stylish laptops for work, gaming, and everyday use",Laptops for Work and Gaming,Shop for laptops with high performance and durability at unbeatable prices,"laptops, notebooks, ultrabooks, gaming laptops, electronics",/uploads/categories/laptops.jpg
Men's Shoes,Step up your style with trendy and comfortable menâ€™s footwear,Menâ€™s Shoes Collection,Discover a wide range of stylish menâ€™s shoes perfect for every occasion,"men shoes, sneakers, formal shoes, footwear, casual wear",/uploads/categories/mens-shoes.jpg
Women's Dresses,Elegant and fashionable dresses for every occasion and mood,Women's Dresses Online,Explore a wide variety of trendy women's dresses at affordable prices,"women's fashion, dresses, gowns, outfits, ladies wear",/uploads/categories/womens-dresses.jpg
Headphones,Enjoy immersive sound with top-quality wireless and wired headphones,Premium Headphones & Earphones,Buy noise-cancelling headphones and earbuds from leading brands online,"headphones, earphones, wireless, bluetooth, audio",/uploads/categories/headphones.jpg
Watches,Stylish and functional watches for men and women from top brands,Buy Watches Online,Find elegant wristwatches and smartwatches to match your personality,"watches, smartwatches, analog, digital, fashion accessories",/uploads/categories/watches.jpg
Home Appliances,Reliable home appliances to simplify your daily chores,Home Appliances at Best Prices,"Get high-quality home appliances like washing machines, fridges, and more","home appliances, washing machine, refrigerator, electronics, kitchen",/uploads/categories/home-appliances.jpg
Beauty & Skincare,Discover beauty and skincare products for healthy and glowing skin,Beauty & Skincare Essentials,Shop trusted skincare and beauty brands online with great offers,"skincare, beauty, cosmetics, face wash, makeup, self-care",/uploads/categories/beauty.jpg
Sports & Fitness,Gear up for fitness with top-quality sports and workout equipment,Sports & Fitness Products,"Buy gym equipment, activewear, and sports accessories online","sports, fitness, gym, workout, activewear, health",/uploads/categories/sports.jpg